,acctnum,gender,state,zip,zip3,first,last,book,nonbook,total,purch,child,youth,cook,do_it,reference,art,geog,buyer,training
11602,21603,F,NJ,7401,740,9,9,15,263,278,1,0,0,1,0,0,0,0,no,1
11603,21604,F,NY,10025,100,19,15,29,134,163,2,0,0,0,0,0,1,1,no,1
11604,21605,M,NY,10306,103,45,11,143,298,441,12,1,1,1,4,1,1,3,no,1
11605,21606,F,NY,11791,117,17,15,29,290,319,2,0,0,0,0,0,1,1,yes,1
11606,21607,F,MD,21060,210,79,33,115,138,253,10,1,1,6,0,0,0,2,no,0
11607,21608,M,NY,11209,112,17,11,25,157,182,2,0,0,2,0,0,0,0,no,1
11608,21609,F,MD,21229,212,13,13,15,28,43,1,1,0,0,0,0,0,0,no,1
11609,21610,F,NJ,8701,870,31,15,42,154,196,4,1,2,1,0,0,0,0,no,1
11610,21611,F,NJ,7066,706,9,9,15,279,294,1,0,0,1,0,0,0,0,no,0
11611,21612,F,NY,11230,112,55,1,96,63,159,9,3,4,1,0,0,0,1,no,0
11612,21613,M,MA,1430,143,27,13,32,88,120,3,1,1,1,0,0,0,0,no,1
11613,21614,M,NJ,7621,762,53,31,98,257,355,8,2,0,1,1,0,2,2,no,1
11614,21615,F,NY,11757,117,25,9,36,249,285,3,0,0,1,1,0,0,1,no,1
11615,21616,M,NJ,7722,772,15,15,15,52,67,1,0,0,0,0,0,1,0,no,1
11616,21617,M,PA,18944,189,31,13,44,55,99,4,2,0,1,1,0,0,0,no,1
11617,21618,F,NY,10456,104,9,9,15,50,65,1,0,0,0,0,0,0,1,no,1
11618,21619,F,NJ,8244,824,25,3,111,122,233,10,1,1,4,1,2,0,1,no,0
11619,21620,F,MA,1945,194,5,3,29,86,115,2,1,0,0,0,0,0,1,no,0
11620,21621,F,PA,15237,152,21,5,51,85,136,4,0,0,2,0,1,0,1,yes,1
11621,21622,F,CT,6903,690,15,15,15,68,83,1,0,0,1,0,0,0,0,no,1
11622,21623,F,DC,20011,200,19,11,27,160,187,2,0,0,0,0,2,0,0,no,1
11623,21624,M,DC,20020,200,17,13,25,260,285,2,1,0,1,0,0,0,0,no,1
11624,21625,F,PA,18704,187,47,21,121,268,389,11,3,1,3,0,2,1,1,yes,1
11625,21626,M,NY,10025,100,25,1,57,227,284,5,0,1,2,1,1,0,0,yes,1
11626,21627,F,NJ,7470,747,21,5,39,248,287,3,0,1,1,0,0,0,1,no,0
11627,21628,M,NJ,7760,776,19,11,48,107,155,4,1,0,1,1,0,0,1,no,0
11628,21629,M,MD,21206,212,61,1,140,40,180,12,1,2,1,3,1,3,1,no,1
11629,21630,M,NY,11706,117,15,15,15,86,101,1,0,0,1,0,0,0,0,no,1
11630,21631,F,NY,14450,144,15,15,15,116,131,1,0,1,0,0,0,0,0,no,1
11631,21632,M,PA,15301,153,47,13,119,340,459,11,2,2,2,3,0,0,2,no,1
11632,21633,F,PA,15074,150,3,3,15,278,293,1,1,0,0,0,0,0,0,no,1
11633,21634,F,DE,19702,197,1,1,15,69,84,1,0,0,0,0,1,0,0,yes,1
11634,21635,M,NY,11205,112,31,13,68,88,156,6,2,0,1,1,2,0,0,no,0
11635,21636,F,NY,11229,112,37,9,116,327,443,10,3,0,2,0,1,3,1,no,1
11636,21637,F,NY,11105,111,13,13,15,202,217,1,0,0,1,0,0,0,0,no,0
11637,21638,F,MD,21046,210,45,15,94,48,142,8,1,1,1,2,0,1,2,no,1
11638,21639,F,CT,6410,641,11,1,45,145,190,4,2,0,1,0,1,0,0,no,0
11639,21640,F,PA,19061,190,25,23,28,54,82,2,1,0,0,0,0,1,0,no,1
11640,21641,M,MD,21131,211,25,15,37,15,52,3,2,0,0,0,0,0,1,no,1
11641,21642,F,CT,6053,605,15,11,25,294,319,2,0,1,1,0,0,0,0,no,1
11642,21643,F,CT,6776,677,13,9,26,42,68,2,0,0,1,1,0,0,0,no,1
11643,21644,F,NY,10019,100,35,31,26,169,195,2,0,0,1,1,0,0,0,no,1
11644,21645,F,NY,13032,130,15,15,15,259,274,1,1,0,0,0,0,0,0,no,1
11645,21646,F,PA,19135,191,51,23,51,266,317,5,3,0,2,0,0,0,0,no,1
11646,21647,F,NY,11516,115,15,15,15,7,22,1,0,0,0,0,1,0,0,no,0
11647,21648,F,PA,19380,193,75,35,135,127,262,12,3,2,2,1,0,3,1,no,1
11648,21649,F,PA,19454,194,13,13,15,238,253,1,0,0,0,0,0,0,1,no,1
11649,21650,F,NJ,8088,808,11,9,29,126,155,2,0,0,1,0,0,0,1,no,1
11650,21651,M,VT,5839,583,31,31,15,171,186,1,0,0,1,0,0,0,0,no,1
11651,21652,F,NJ,7446,744,29,29,15,10,25,1,0,0,0,0,0,0,1,no,1
11652,21653,M,NJ,7032,703,35,5,68,320,388,6,1,1,0,1,1,2,0,no,1
11653,21654,F,NY,11566,115,9,1,29,31,60,2,1,0,0,0,0,0,1,no,1
11654,21655,F,VT,5356,535,3,3,15,62,77,1,0,0,0,0,1,0,0,no,0
11655,21656,F,NY,11706,117,21,11,36,206,242,3,1,0,0,1,0,1,0,no,0
11656,21657,F,NY,10566,105,53,13,142,223,365,12,2,0,3,1,2,1,3,yes,1
11657,21658,F,NY,10704,107,57,29,74,295,369,6,0,1,2,0,0,2,1,no,1
11658,21659,M,NH,3223,322,35,15,64,161,225,6,3,0,1,1,1,0,0,no,1
11659,21660,M,DE,19805,198,3,3,15,14,29,1,0,0,1,0,0,0,0,no,0
11660,21661,F,NY,12586,125,1,1,15,33,48,1,0,0,0,0,0,0,1,no,0
11661,21662,F,NY,11706,117,21,15,33,20,53,3,1,0,1,0,0,1,0,no,0
11662,21663,M,NY,14610,146,7,7,15,103,118,1,0,0,0,0,1,0,0,yes,0
11663,21664,F,DE,19802,198,9,9,15,80,95,1,1,0,0,0,0,0,0,no,1
11664,21665,F,NY,11560,115,85,15,131,292,423,12,2,3,3,2,1,1,0,yes,1
11665,21666,M,NY,10021,100,39,33,29,222,251,2,0,0,0,1,0,0,1,no,1
11666,21667,F,NY,12549,125,17,5,37,288,325,3,1,0,1,0,0,0,1,no,1
11667,21668,F,MD,21060,210,61,11,129,320,449,11,1,3,1,0,2,2,2,no,1
11668,21669,F,NY,11023,110,19,17,24,147,171,2,1,1,0,0,0,0,0,no,0
11669,21670,F,NY,10605,106,11,11,15,246,261,1,0,0,1,0,0,0,0,no,0
11670,21671,M,NJ,7920,792,9,5,29,168,197,2,0,0,0,0,0,1,1,yes,1
11671,21672,M,NY,10128,101,49,13,108,58,166,10,3,1,3,1,0,1,1,no,1
11672,21673,M,NY,10566,105,43,25,40,78,118,3,0,1,0,1,0,0,1,no,0
11673,21674,F,RI,2908,290,39,13,87,96,183,7,0,1,0,3,0,1,2,no,0
11674,21675,F,PA,19401,194,9,9,15,114,129,1,1,0,0,0,0,0,0,no,0
11675,21676,M,MA,2172,217,37,17,114,219,333,10,5,0,2,0,1,0,2,no,0
11676,21677,M,NY,11040,110,45,15,137,304,441,12,3,0,2,2,2,2,1,yes,0
11677,21678,M,PA,15024,150,1,1,15,31,46,1,1,0,0,0,0,0,0,no,0
11678,21679,F,NY,11235,112,13,13,15,259,274,1,1,0,0,0,0,0,0,no,1
11679,21680,F,PA,19053,190,5,5,15,264,279,1,1,0,0,0,0,0,0,no,1
11680,21681,F,NJ,7017,701,9,9,15,292,307,1,0,1,0,0,0,0,0,no,1
11681,21682,F,NJ,8731,873,19,13,33,242,275,3,1,0,2,0,0,0,0,no,1
11682,21683,F,RI,2906,290,13,7,28,16,44,2,1,0,0,0,0,1,0,no,1
11683,21684,F,PA,17331,173,59,15,133,287,420,11,0,1,2,2,1,1,4,yes,0
11684,21685,M,NJ,8863,886,61,27,79,235,314,7,0,1,4,0,1,1,0,no,1
11685,21686,F,RI,2886,288,27,1,54,135,189,5,3,0,1,0,0,1,0,no,0
11686,21687,M,NJ,8757,875,43,27,56,225,281,5,2,1,0,1,0,1,0,no,0
11687,21688,F,NY,11563,115,27,27,15,222,237,1,1,0,0,0,0,0,0,no,1
11688,21689,F,NJ,8226,822,19,9,35,261,296,3,0,1,0,2,0,0,0,no,1
11689,21690,F,NY,11741,117,43,13,105,243,348,9,0,1,2,3,3,0,0,no,0
11690,21691,F,NY,12601,126,21,13,23,14,37,2,2,0,0,0,0,0,0,no,0
11691,21692,F,MD,21201,212,1,1,15,263,278,1,0,0,1,0,0,0,0,yes,0
11692,21693,M,NY,13851,138,15,15,15,18,33,1,1,0,0,0,0,0,0,no,1
11693,21694,M,PA,17724,177,11,5,23,262,285,2,2,0,0,0,0,0,0,no,1
11694,21695,M,RI,2895,289,19,19,15,90,105,1,0,0,0,0,0,0,1,no,1
11695,21696,M,NY,11727,117,55,1,138,317,455,12,1,2,2,2,2,2,1,no,0
11696,21697,F,NJ,7017,701,59,11,135,154,289,12,1,2,3,1,3,1,1,no,1
11697,21698,F,NJ,7070,707,13,13,15,264,279,1,0,0,1,0,0,0,0,no,0
11698,21699,F,PA,18801,188,31,25,26,257,283,2,0,0,1,1,0,0,0,no,1
11699,21700,M,PA,19053,190,23,3,65,197,262,6,2,2,0,0,2,0,0,no,1
11700,21701,M,NY,11010,110,35,27,50,155,205,4,0,0,1,1,0,1,1,no,1
11701,21702,F,NY,11756,117,31,9,108,148,256,9,0,1,2,3,0,0,3,no,1
11702,21703,M,MD,21237,212,31,7,124,120,244,12,3,5,1,3,0,0,0,no,0
11703,21704,F,MD,20902,209,11,7,25,27,52,2,0,0,2,0,0,0,0,no,1
11704,21705,F,MD,21030,210,5,1,27,294,321,2,1,0,0,0,1,0,0,no,1
11705,21706,F,NJ,7010,701,5,5,15,70,85,1,0,0,1,0,0,0,0,no,0
11706,21707,F,PA,19008,190,47,9,95,86,181,8,1,1,3,0,0,0,3,no,0
11707,21708,M,MD,20832,208,79,15,133,116,249,11,0,1,3,2,2,0,3,no,1
11708,21709,F,NY,13078,130,29,3,123,222,345,11,2,0,4,1,2,1,1,no,0
11709,21710,M,NJ,8041,804,57,3,125,164,289,11,1,2,4,0,0,2,2,yes,0
11710,21711,M,NY,13126,131,59,5,131,123,254,12,5,0,4,1,1,0,1,no,1
11711,21712,F,MD,20817,208,5,5,15,125,140,1,1,0,0,0,0,0,0,no,1
11712,21713,F,NY,11756,117,11,11,15,166,181,1,1,0,0,0,0,0,0,no,0
11713,21714,M,MA,1867,186,43,33,37,135,172,3,1,0,1,0,0,0,1,no,0
11714,21715,F,CT,6484,648,31,31,15,237,252,1,0,0,1,0,0,0,0,no,1
11715,21716,F,NJ,7066,706,49,13,81,253,334,7,1,3,0,0,0,2,1,no,0
11716,21717,M,NY,11801,118,69,3,134,341,475,12,3,1,4,2,0,1,1,no,1
11717,21718,F,NY,11777,117,15,15,15,163,178,1,0,0,0,0,0,0,1,no,0
11718,21719,F,PA,15217,152,65,13,145,253,398,12,1,1,2,0,2,2,4,yes,1
11719,21720,F,NJ,7403,740,19,15,28,239,267,2,1,0,0,0,0,1,0,no,0
11720,21721,F,NY,13112,131,3,3,15,179,194,1,1,0,0,0,0,0,0,no,0
11721,21722,M,NY,11801,118,7,1,29,76,105,2,1,0,0,0,0,0,1,no,1
11722,21723,M,NH,3570,357,13,11,28,183,211,2,0,0,0,0,1,1,0,yes,1
11723,21724,M,NJ,8750,875,19,11,28,136,164,2,0,0,1,0,0,1,0,no,0
11724,21725,M,MD,21236,212,41,35,25,277,302,2,1,0,1,0,0,0,0,no,1
11725,21726,M,NY,14221,142,9,1,29,236,265,2,0,0,0,1,0,0,1,no,0
11726,21727,F,NJ,8840,884,19,15,26,74,100,2,1,0,0,1,0,0,0,no,1
11727,21728,M,NJ,8204,820,61,9,127,198,325,11,2,1,2,2,1,1,2,no,1
11728,21729,F,PA,19078,190,41,19,127,94,221,11,3,2,1,0,1,1,3,no,1
11729,21730,M,NJ,8759,875,15,13,29,96,125,2,0,0,0,0,0,0,2,no,1
11730,21731,F,NY,11758,117,19,11,26,81,107,2,0,0,1,1,0,0,0,no,1
11731,21732,M,PA,19061,190,7,7,15,48,63,1,1,0,0,0,0,0,0,no,1
11732,21733,F,NJ,8402,840,27,13,34,218,252,3,1,0,0,1,1,0,0,no,1
11733,21734,F,NY,11234,112,5,3,27,299,326,2,0,0,0,1,1,0,0,no,1
11734,21735,M,PA,15025,150,41,15,56,293,349,5,1,1,1,0,0,0,2,no,1
11735,21736,M,NJ,7675,767,31,3,80,129,209,7,1,0,3,1,0,2,0,no,0
11736,21737,M,PA,19018,190,63,13,108,215,323,9,1,1,0,3,0,2,2,no,1
11737,21738,M,NY,11735,117,19,11,50,122,172,4,0,0,2,1,0,0,1,no,1
11738,21739,F,PA,15217,152,65,11,114,176,290,11,3,3,4,1,0,0,0,no,1
11739,21740,F,MA,1001,100,5,5,15,182,197,1,0,0,1,0,0,0,0,no,0
11740,21741,M,MD,21237,212,77,13,119,124,243,11,3,1,5,0,0,2,0,no,1
11741,21742,M,PA,19040,190,57,13,119,185,304,10,1,0,3,1,2,1,2,yes,0
11742,21743,F,MD,21224,212,17,13,29,284,313,2,0,0,0,1,0,0,1,no,1
11743,21744,F,PA,18414,184,15,15,15,247,262,1,0,1,0,0,0,0,0,no,0
11744,21745,M,PA,19124,191,49,33,70,124,194,6,1,1,0,2,0,1,1,no,1
11745,21746,F,CT,6712,671,3,3,15,52,67,1,0,0,1,0,0,0,0,yes,1
11746,21747,M,CT,6516,651,17,15,29,137,166,2,0,0,1,0,0,0,1,no,1
11747,21748,M,NY,14456,144,19,7,36,147,183,3,1,0,1,0,0,1,0,no,1
11748,21749,M,NJ,8807,880,13,3,38,73,111,3,0,0,1,1,1,0,0,no,1
11749,21750,F,NY,10552,105,57,9,124,219,343,11,4,2,2,0,1,0,2,no,1
11750,21751,M,MD,20772,207,17,13,29,3,32,2,1,0,0,0,0,0,1,no,1
11751,21752,M,NJ,7670,767,31,31,15,181,196,1,0,0,0,1,0,0,0,no,0
11752,21753,M,NJ,8721,872,35,13,73,79,152,6,2,0,0,2,0,0,2,no,0
11753,21754,F,CT,6880,688,29,23,29,293,322,2,0,0,0,0,0,1,1,no,1
11754,21755,F,NJ,7646,764,39,1,79,253,332,7,2,2,1,0,0,0,2,no,0
11755,21756,F,NJ,8854,885,13,5,47,56,103,4,2,0,1,0,0,0,1,no,1
11756,21757,F,PA,18042,180,35,35,15,9,24,1,1,0,0,0,0,0,0,no,1
11757,21758,F,NJ,7440,744,31,7,85,56,141,8,2,1,5,0,0,0,0,no,1
11758,21759,F,MD,21212,212,39,29,33,225,258,3,1,0,1,0,1,0,0,no,0
11759,21760,F,RI,2806,280,17,15,26,193,219,2,0,0,1,1,0,0,0,no,1
11760,21761,F,NJ,8901,890,43,11,89,149,238,8,2,2,2,0,0,0,2,no,1
11761,21762,M,NY,11801,118,21,21,15,170,185,1,1,0,0,0,0,0,0,yes,1
11762,21763,F,NJ,7666,766,11,11,15,1,16,1,0,0,0,1,0,0,0,no,1
11763,21764,F,PA,18017,180,53,11,91,172,263,8,5,0,0,3,0,0,0,no,1
11764,21765,M,PA,19078,190,59,33,70,140,210,6,0,0,3,2,0,1,0,no,1
11765,21766,M,NY,11234,112,27,13,45,243,288,4,1,0,1,1,1,0,0,no,0
11766,21767,F,NJ,7079,707,17,13,29,31,60,2,0,1,0,0,0,0,1,no,1
11767,21768,M,DE,19975,199,31,13,38,85,123,3,0,0,2,0,0,1,0,no,1
11768,21769,F,NY,11369,113,13,11,26,291,317,2,1,0,0,1,0,0,0,no,0
11769,21770,F,NJ,8054,805,19,1,80,159,239,7,2,0,2,1,0,2,0,no,1
11770,21771,M,NY,10803,108,45,11,73,187,260,6,1,0,0,1,1,1,2,yes,0
11771,21772,F,NY,11235,112,7,7,15,192,207,1,0,0,0,0,0,0,1,no,1
11772,21773,M,NY,10560,105,13,11,23,264,287,2,2,0,0,0,0,0,0,yes,1
11773,21774,F,PA,17404,174,51,31,80,149,229,7,1,0,4,0,0,1,1,no,0
11774,21775,M,NJ,7631,763,43,25,76,226,302,6,0,0,1,4,0,0,1,no,0
11775,21776,F,NJ,8302,830,29,29,15,19,34,1,1,0,0,0,0,0,0,no,1
11776,21777,M,NY,11516,115,13,9,29,203,232,2,0,1,0,0,0,0,1,no,1
11777,21778,F,NY,11770,117,23,15,25,149,174,2,0,0,2,0,0,0,0,no,1
11778,21779,F,MD,20901,209,41,9,79,281,360,7,1,1,3,0,0,1,1,no,1
11779,21780,M,CT,6385,638,29,15,73,127,200,6,0,0,2,1,2,1,0,no,1
11780,21781,F,NJ,7054,705,29,29,15,289,304,1,0,0,0,0,0,1,0,no,1
11781,21782,F,MD,21093,210,45,35,47,56,103,4,2,0,1,0,0,0,1,no,0
11782,21783,M,NJ,8057,805,9,9,15,70,85,1,0,0,0,0,0,1,0,no,0
11783,21784,F,NJ,7605,760,47,5,122,199,321,11,1,4,4,0,0,1,1,no,0
11784,21785,M,PA,19116,191,33,27,28,278,306,2,0,1,0,0,0,1,0,no,1
11785,21786,M,NY,11756,117,47,3,108,274,382,10,4,2,2,0,2,0,0,no,1
11786,21787,M,PA,19006,190,11,9,28,18,46,2,0,0,0,1,0,1,0,yes,1
11787,21788,F,ME,4773,477,49,17,91,144,235,8,1,0,4,1,0,1,1,no,0
11788,21789,F,NJ,8733,873,35,31,28,99,127,2,0,1,0,0,0,1,0,no,1
11789,21790,M,PA,19380,193,31,3,85,294,379,8,3,2,1,0,1,0,1,no,1
11790,21791,F,NY,10020,100,15,13,29,68,97,2,0,0,1,0,0,0,1,no,1
11791,21792,F,PA,19123,191,13,9,27,204,231,2,1,0,0,0,1,0,0,no,1
11792,21793,F,NJ,7417,741,15,15,15,86,101,1,0,1,0,0,0,0,0,yes,1
11793,21794,M,MA,2184,218,13,11,28,162,190,2,0,0,0,1,0,1,0,no,1
11794,21795,M,NJ,7465,746,33,33,15,8,23,1,0,0,1,0,0,0,0,no,1
11795,21796,F,DE,19808,198,5,5,15,284,299,1,0,0,0,0,0,0,1,no,0
11796,21797,F,CT,6320,632,7,7,15,287,302,1,0,0,0,0,1,0,0,no,1
11797,21798,M,NY,11024,110,31,29,29,125,154,2,0,0,0,0,0,0,2,no,1
11798,21799,M,MA,2184,218,29,7,119,158,277,11,5,1,2,2,0,0,1,no,1
11799,21800,M,DE,19803,198,35,9,53,209,262,5,1,1,2,1,0,0,0,no,1
11800,21801,F,MD,20879,208,27,27,15,65,80,1,0,0,0,0,0,1,0,no,1
11801,21802,F,MA,1360,136,9,9,15,291,306,1,0,0,1,0,0,0,0,no,0
11802,21803,M,PA,18324,183,17,13,24,238,262,2,1,1,0,0,0,0,0,no,1
11803,21804,M,PA,15563,155,9,9,15,6,21,1,0,1,0,0,0,0,0,yes,0
11804,21805,M,NJ,7733,773,25,7,71,311,382,6,0,1,1,2,1,0,1,no,0
11805,21806,F,NJ,7747,774,13,3,37,45,82,3,2,0,0,0,0,0,1,yes,1
11806,21807,M,ME,4107,410,3,3,15,208,223,1,0,0,0,0,0,1,0,no,1
11807,21808,F,NY,11758,117,11,9,26,68,94,2,0,0,1,1,0,0,0,no,0
11808,21809,F,NY,11203,112,11,3,38,83,121,3,0,0,1,1,0,1,0,no,1
11809,21810,M,CT,6606,660,13,1,51,280,331,5,2,0,3,0,0,0,0,no,0
11810,21811,M,NJ,7719,771,39,15,130,151,281,11,0,1,2,3,2,2,1,no,1
11811,21812,F,NJ,8620,862,11,3,29,234,263,2,0,0,1,0,0,0,1,no,1
11812,21813,F,MD,20676,206,17,11,27,126,153,2,0,0,0,1,1,0,0,no,1
11813,21814,F,NJ,8757,875,21,13,29,91,120,2,0,1,0,0,0,0,1,no,1
11814,21815,F,NY,11003,110,13,9,29,149,178,2,1,0,0,0,0,0,1,no,1
11815,21816,F,MA,2174,217,17,1,75,107,182,6,1,1,0,0,0,0,4,no,1
11816,21817,F,NY,10956,109,7,7,15,204,219,1,0,1,0,0,0,0,0,no,1
11817,21818,F,NY,11355,113,1,1,15,254,269,1,0,0,0,0,1,0,0,no,1
11818,21819,F,MA,1970,197,5,1,26,58,84,2,0,0,1,1,0,0,0,no,1
11819,21820,F,PA,19018,190,33,33,15,175,190,1,0,0,1,0,0,0,0,no,0
11820,21821,F,NJ,8840,884,1,1,15,268,283,1,0,0,1,0,0,0,0,no,1
11821,21822,M,CT,6450,645,17,7,37,148,185,3,0,1,0,0,0,1,1,no,1
11822,21823,M,NY,11572,115,49,33,65,297,362,5,0,1,0,1,1,1,1,no,0
11823,21824,F,PA,18459,184,7,7,15,259,274,1,0,0,0,0,1,0,0,no,1
11824,21825,M,NJ,8701,870,31,15,58,207,265,5,2,0,1,0,1,1,0,no,1
11825,21826,F,NY,11357,113,3,3,15,24,39,1,0,0,1,0,0,0,0,no,1
11826,21827,F,NY,11236,112,33,25,24,147,171,2,1,1,0,0,0,0,0,no,1
11827,21828,M,PA,19018,190,11,11,15,182,197,1,0,0,1,0,0,0,0,yes,0
11828,21829,F,NY,11436,114,55,9,99,77,176,9,1,3,1,2,1,0,1,no,1
11829,21830,F,MA,2151,215,29,11,76,122,198,7,2,1,2,1,0,1,0,no,1
11830,21831,F,PA,18042,180,35,31,26,194,220,2,0,1,0,1,0,0,0,no,1
11831,21832,F,DE,19953,199,33,1,92,117,209,8,1,0,3,3,1,0,0,no,0
11832,21833,F,NJ,7974,797,13,9,25,38,63,2,0,1,1,0,0,0,0,no,1
11833,21834,M,MA,2343,234,27,7,58,172,230,5,0,0,3,1,1,0,0,no,1
11834,21835,M,NY,10473,104,43,13,131,288,419,12,4,0,2,3,1,1,1,no,0
11835,21836,F,MA,1776,177,13,13,15,140,155,1,0,1,0,0,0,0,0,no,1
11836,21837,F,NY,13219,132,37,3,97,153,250,8,0,0,4,3,0,0,1,no,0
11837,21838,F,NJ,7023,702,23,9,32,105,137,3,1,1,0,1,0,0,0,no,1
11838,21839,F,MD,21228,212,9,5,29,137,166,2,0,1,0,0,0,0,1,no,0
11839,21840,F,CT,6239,623,25,23,25,150,175,2,1,0,1,0,0,0,0,no,1
11840,21841,M,NY,10579,105,65,13,125,308,433,11,2,2,1,0,1,2,3,no,1
11841,21842,M,NY,11743,117,29,29,15,174,189,1,0,0,0,0,0,1,0,no,1
11842,21843,F,NY,12095,120,5,5,15,51,66,1,0,0,0,1,0,0,0,no,0
11843,21844,M,NY,10970,109,9,3,29,256,285,2,0,0,0,0,0,1,1,no,0
11844,21845,M,NJ,7070,707,9,5,23,262,285,2,2,0,0,0,0,0,0,no,1
11845,21846,M,NJ,8859,885,73,21,123,141,264,11,2,1,2,2,0,1,3,no,1
11846,21847,F,NY,12780,127,13,13,15,46,61,1,0,0,0,1,0,0,0,no,1
11847,21848,F,PA,19072,190,25,17,23,207,230,2,2,0,0,0,0,0,0,no,0
11848,21849,F,MD,20817,208,47,23,105,84,189,9,2,0,1,1,0,4,1,no,1
11849,21850,M,NY,11362,113,39,13,63,139,202,5,0,1,1,1,0,1,1,no,1
11850,21851,F,NY,10977,109,9,9,15,47,62,1,0,0,0,0,1,0,0,no,0
11851,21852,M,MA,2130,213,25,25,15,279,294,1,0,0,0,0,0,0,1,no,1
11852,21853,F,MA,2639,263,41,21,105,237,342,9,1,4,0,1,2,0,1,no,1
11853,21854,M,PA,18966,189,41,23,55,89,144,5,1,1,2,0,0,1,0,no,1
11854,21855,F,NJ,7481,748,21,17,26,141,167,2,0,0,1,1,0,0,0,no,0
11855,21856,M,NJ,7052,705,19,11,50,258,308,4,0,0,1,2,0,0,1,yes,1
11856,21857,F,PA,15237,152,39,9,97,49,146,8,1,0,1,1,1,2,2,no,1
11857,21858,F,NY,11516,115,71,9,139,196,335,12,2,2,1,2,1,2,2,yes,1
11858,21859,F,PA,16055,160,17,11,34,42,76,3,2,0,0,1,0,0,0,no,1
11859,21860,M,PA,19020,190,29,5,56,221,277,5,1,1,2,0,0,0,1,no,0
11860,21861,F,MA,1720,172,39,3,113,137,250,10,2,1,4,1,0,1,1,no,1
11861,21862,F,NY,12208,122,29,11,64,190,254,6,2,1,2,0,1,0,0,no,1
11862,21863,M,PA,19082,190,49,13,77,187,264,7,1,1,5,0,0,0,0,no,1
11863,21864,M,MD,21093,210,7,7,15,290,305,1,1,0,0,0,0,0,0,no,1
11864,21865,M,CT,6066,606,67,13,138,232,370,12,2,1,3,2,0,1,3,no,1
11865,21866,F,NY,10002,100,11,11,15,181,196,1,0,0,1,0,0,0,0,no,1
11866,21867,F,NJ,7034,703,39,35,27,265,292,2,0,0,0,0,2,0,0,no,1
11867,21868,M,NY,12481,124,31,3,110,54,164,10,2,1,2,2,0,0,3,yes,1
11868,21869,F,NJ,7869,786,17,15,23,213,236,2,2,0,0,0,0,0,0,no,0
11869,21870,M,VT,5069,506,59,7,120,147,267,10,2,0,1,2,2,1,2,yes,1
11870,21871,F,NJ,7946,794,29,9,46,68,114,4,1,0,1,0,0,2,0,no,1
11871,21872,F,PA,17701,177,35,27,28,165,193,2,0,0,0,0,0,2,0,no,0
11872,21873,F,MD,21228,212,73,15,120,44,164,10,0,0,7,0,1,0,2,no,1
11873,21874,F,NY,10562,105,21,15,25,250,275,2,0,0,2,0,0,0,0,no,1
11874,21875,F,NY,11364,113,13,5,28,236,264,2,0,0,1,0,0,1,0,no,1
11875,21876,M,MD,20815,208,37,7,130,225,355,12,2,2,3,1,2,2,0,yes,1
11876,21877,F,NJ,7856,785,33,33,15,65,80,1,0,0,0,0,0,0,1,no,1
11877,21878,M,NY,11375,113,21,9,65,181,246,6,2,1,1,1,1,0,0,no,1
11878,21879,F,NY,11040,110,79,33,108,172,280,10,3,2,2,0,0,3,0,no,1
11879,21880,M,PA,19095,190,31,9,87,278,365,7,0,1,4,0,0,0,2,no,1
11880,21881,M,PA,18966,189,79,19,115,209,324,10,4,0,2,1,2,0,1,no,1
11881,21882,F,NJ,7036,703,7,7,15,167,182,1,0,0,0,0,0,0,1,no,1
11882,21883,F,CT,6037,603,15,15,15,200,215,1,1,0,0,0,0,0,0,no,1
11883,21884,F,NY,11357,113,31,13,42,40,82,4,1,1,2,0,0,0,0,no,1
11884,21885,F,MA,1752,175,25,9,77,45,122,7,5,1,0,0,0,0,1,no,1
11885,21886,M,PA,19073,190,9,9,15,83,98,1,0,0,0,0,0,0,1,yes,0
11886,21887,F,MA,2149,214,21,15,23,149,172,2,2,0,0,0,0,0,0,no,1
11887,21888,F,NY,10805,108,13,13,15,50,65,1,1,0,0,0,0,0,0,no,1
11888,21889,F,MA,1108,110,35,9,103,263,366,9,1,1,5,0,1,0,1,no,1
11889,21890,M,CT,6053,605,43,23,54,129,183,5,3,0,1,0,0,1,0,no,1
11890,21891,M,PA,19530,195,33,15,58,108,166,5,1,0,1,1,0,0,2,no,1
11891,21892,F,NJ,7026,702,25,19,29,250,279,2,0,0,0,1,0,0,1,no,0
11892,21893,M,NY,11209,112,39,13,56,161,217,5,2,0,1,1,1,0,0,no,1
11893,21894,F,MA,2324,232,5,1,27,131,158,2,0,0,1,0,1,0,0,no,1
11894,21895,F,NJ,7047,704,9,9,15,42,57,1,0,0,1,0,0,0,0,no,1
11895,21896,M,MD,20906,209,73,13,121,308,429,11,2,1,3,2,1,1,1,no,0
11896,21897,F,MA,2113,211,29,5,121,200,321,11,3,1,3,1,1,0,2,no,1
11897,21898,F,NJ,8043,804,9,7,25,37,62,2,0,0,2,0,0,0,0,no,1
11898,21899,M,DE,19963,199,33,11,51,285,336,4,1,0,1,0,1,0,1,no,0
11899,21900,M,NY,11235,112,41,5,111,41,152,10,3,1,1,2,1,1,1,no,0
11900,21901,F,NY,10583,105,3,3,15,146,161,1,0,0,0,0,0,1,0,no,1
11901,21902,M,NY,11229,112,39,13,94,22,116,7,0,0,0,1,0,3,3,yes,1
